You are negotiating an NFL fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), rationale (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Austin Ekeler | RB | 8.2
Bucky Irving | RB | 16.3
Breece Hall | RB | 12.7
Brian Robinson Jr. | RB | 10.4
Derrick Henry | RB | 16.2
Kenneth Walker III | RB | 13.7
Blake Corum | RB | 2.4
Kendre Miller | RB | 3.5
DeVonta Smith | WR | 13.0
Calvin Ridley | WR | 11.8
Tutu Atwell | WR | 5.6
Jakobi Meyers | WR | 11.5
Cooper Kupp | WR | 11.1
DeMario Douglas | WR | 7.6
Demarcus Robinson | WR | 4.9
Michael Pittman Jr. | WR | 10.3
Will Dissly | TE | 4.1
Brock Bowers | TE | 14.4
Kyle Pitts Sr. | TE | 8.0
Tyler Warren | TE | 8.2
Patrick Mahomes II | QB | 19.9
Caleb Williams | QB | 16.1
Cameron Ward | QB | 13.9
Tua Tagovailoa | QB | 15.5

Team B Roster (name | pos | proj):
James Cook | RB | 14.2
Quinshon Judkins | RB | 5.0
J.K. Dobbins | RB | 10.9
Tyjae Spears | RB | 7.5
Tyrone Tracy Jr. | RB | 11.0
Bhayshul Tuten | RB | 4.9
David Montgomery | RB | 11.5
Aaron Jones Sr. | RB | 11.5
Emeka Egbuka | WR | 10.6
Khalil Shakir | WR | 11.7
Terry McLaurin | WR | 14.3
DJ Moore | WR | 13.1
Chris Godwin | WR | 4.8
Noah Brown | WR | 4.3
Marvin Harrison Jr. | WR | 13.3
Jameson Williams | WR | 12.6
T.J. Hockenson | TE | 10.7
AJ Barner | TE | 4.7
Mark Andrews | TE | 10.8
Hunter Henry | TE | 8.3
Jayden Daniels | QB | 21.4
Justin Herbert | QB | 16.6
J.J. McCarthy | QB | 16.7
Geno Smith | QB | 14.4

Task: First, internally simulate what Team B would accept given its roster, then propose a trade from Team A accordingly. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
