You are negotiating an NFL fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), rationale (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Woody Marks | RB | 3.3
Aaron Jones Sr. | RB | 11.5
James Conner | RB | 14.1
Josh Jacobs | RB | 15.5
TreVeyon Henderson | RB | 12.2
Elijah Mitchell | RB | 2.7
Will Shipley | RB | 3.7
Brian Robinson Jr. | RB | 10.4
Josh Downs | WR | 9.9
Courtland Sutton | WR | 12.9
KaVontae Turpin | WR | 4.2
Drake London | WR | 15.2
Jameson Williams | WR | 12.6
Emeka Egbuka | WR | 10.6
Demarcus Robinson | WR | 4.9
Rashee Rice | WR | 6.7
Zach Ertz | TE | 8.1
Cole Kmet | TE | 3.9
Tyler Conklin | TE | 4.9
Juwan Johnson | TE | 5.6
Brock Purdy | QB | 17.7
Lamar Jackson | QB | 21.6
Jared Goff | QB | 16.2
Jordan Love | QB | 16.3

Team B Roster (name | pos | proj):
Rico Dowdle | RB | 5.1
James Cook | RB | 14.2
Braelon Allen | RB | 4.2
Trey Benson | RB | 7.6
Miles Sanders | RB | 4.0
Jaylen Wright | RB | 5.0
Tyjae Spears | RB | 7.5
Tank Bigsby | RB | 7.4
Jalen Coker | WR | 5.0
Christian Kirk | WR | 7.8
Dyami Brown | WR | 6.7
Puka Nacua | WR | 16.9
Diontae Johnson | WR | 5.4
Adonai Mitchell | WR | 5.1
Davante Adams | WR | 13.4
Tetairoa McMillan | WR | 12.4
Michael Mayer | TE | 4.0
Dalton Kincaid | TE | 8.6
Noah Fant | TE | 4.6
Ja'Tavion Sanders | TE | 6.0
Jayden Daniels | QB | 21.4
Justin Fields | QB | 15.8
Sam Darnold | QB | 15.3
Justin Herbert | QB | 16.6

Task: Propose a mutually beneficial trade. Infer what Team B might value from the rosters; do not state assumptions explicitly. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
