You are negotiating a fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), reasoning (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Josh Jacobs | RB | 15.5
Bucky Irving | RB | 16.3
Rachaad White | RB | 8.1
Kaleb Johnson | RB | 10.7
Elijah Mitchell | RB | 2.7
Kendre Miller | RB | 3.5
Jonathan Taylor | RB | 16.2
Jahmyr Gibbs | RB | 17.9
Dyami Brown | WR | 6.7
Cedric Tillman | WR | 8.2
Justin Jefferson | WR | 18.4
DeVonta Smith | WR | 13.0
A.J. Brown | WR | 15.7
Jameson Williams | WR | 12.6
Darnell Mooney | WR | 9.8
Jalen McMillan | WR | 9.2
Will Dissly | TE | 4.1
Isaiah Likely | TE | 5.5
Evan Engram | TE | 9.7
Noah Gray | TE | 5.0
Russell Wilson | QB | 15.4
Bryce Young | QB | 15.5
Michael Penix Jr. | QB | 15.2
Bo Nix | QB | 18.8

Team B Roster (name | pos | proj):
Jaylen Wright | RB | 5.0
D'Andre Swift | RB | 11.4
Tyjae Spears | RB | 7.5
Tyrone Tracy Jr. | RB | 11.0
TreVeyon Henderson | RB | 12.2
Kyren Williams | RB | 15.2
Alvin Kamara | RB | 14.7
Quinshon Judkins | RB | 5.0
Allen Lazard | WR | 4.4
Jauan Jennings | WR | 12.2
Emeka Egbuka | WR | 10.6
Romeo Doubs | WR | 7.6
DeAndre Hopkins | WR | 5.7
Rashod Bateman | WR | 8.5
Diontae Johnson | WR | 5.4
Alec Pierce | WR | 5.8
Jonnu Smith | TE | 6.8
Jake Ferguson | TE | 8.5
Zach Ertz | TE | 8.1
Sam LaPorta | TE | 11.2
Trevor Lawrence | QB | 17.9
Joe Burrow | QB | 20.0
Sam Darnold | QB | 15.3
Jalen Hurts | QB | 22.0

Task: You are the manager of Team A in a fantasy football league. Your goal is to improve your team by proposing a trade with team B. Review both rosters and propose a trade that accomplishes your goal. Provide a detailed explanation for your trade. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
