You are negotiating a fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), reasoning (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Will Shipley | RB | 3.7
Dylan Sampson | RB | 6.0
Brian Robinson Jr. | RB | 10.4
Raheem Mostert | RB | 3.3
Tank Bigsby | RB | 7.4
Omarion Hampton | RB | 14.0
Saquon Barkley | RB | 19.3
Kareem Hunt | RB | 4.8
Marquez Valdes-Scantling | WR | 4.5
Jordan Whittington | WR | 4.9
Ray-Ray McCloud III | WR | 5.1
Jaylen Waddle | WR | 11.7
Demarcus Robinson | WR | 4.9
DeVonta Smith | WR | 13.0
Jalen Coker | WR | 5.0
Rashee Rice | WR | 6.7
AJ Barner | TE | 4.7
Pat Freiermuth | TE | 7.1
T.J. Hockenson | TE | 10.7
Brock Bowers | TE | 14.4
Dak Prescott | QB | 16.4
Kyler Murray | QB | 18.5
J.J. McCarthy | QB | 16.7
C.J. Stroud | QB | 16.2

Team B Roster (name | pos | proj):
Jahmyr Gibbs | RB | 17.9
Rhamondre Stevenson | RB | 10.3
TreVeyon Henderson | RB | 12.2
Jaydon Blue | RB | 5.3
Josh Jacobs | RB | 15.5
Bhayshul Tuten | RB | 4.9
Blake Corum | RB | 2.4
Joe Mixon | RB | 8.9
Nick Westbrook-Ikhine | WR | 5.5
Jayden Higgins | WR | 9.5
DK Metcalf | WR | 12.7
Quentin Johnston | WR | 6.3
Terry McLaurin | WR | 14.3
Brian Thomas Jr. | WR | 16.0
Darius Slayton | WR | 6.6
KaVontae Turpin | WR | 4.2
Brenton Strange | TE | 7.7
Travis Kelce | TE | 11.0
Tyler Conklin | TE | 4.9
Trey McBride | TE | 14.6
Bryce Young | QB | 15.5
Cameron Ward | QB | 13.9
Russell Wilson | QB | 15.4
Justin Herbert | QB | 16.6

Task: You are the manager of Team A. Your goal is to improve Team A by proposing a mutually beneficial trade with Team B that Team B is likely to accept. Consider what team B needs or might accept. You may offer any players from your own team in exchange for players on Team B's roster. Carefully analyze both teams rosters, including positional strengths and weaknesses. Your trade should consider Team B's perspective which includes their positional needs and likely willingness to accept the trade and also be fair and realistic. Your task is to propose a trade and clearly state which player(s) each team would give and receive. Think step by step through your analysis. After, write a detailed explanation on why the trade benefits both teams, what needs each team is addressing and why Team B is likely to accept the trade. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
