You are negotiating an NFL fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), rationale (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Roschon Johnson | RB | 5.3
Miles Sanders | RB | 4.0
Nick Chubb | RB | 4.7
Elijah Mitchell | RB | 2.7
Saquon Barkley | RB | 19.3
Joe Mixon | RB | 8.9
Ty Johnson | RB | 4.2
Jordan Mason | RB | 7.4
Stefon Diggs | WR | 10.6
Ricky Pearsall | WR | 11.1
Zay Flowers | WR | 13.1
Travis Hunter | WR | 12.7
Emeka Egbuka | WR | 10.6
Kyle Williams | WR | 6.6
Deebo Samuel Sr. | WR | 11.5
A.J. Brown | WR | 15.7
Cade Otton | TE | 7.7
Kyle Pitts Sr. | TE | 8.0
Tyler Conklin | TE | 4.9
Mike Gesicki | TE | 7.1
Trevor Lawrence | QB | 17.9
Jordan Love | QB | 16.3
Kyler Murray | QB | 18.5
Matthew Stafford | QB | 15.3

Team B Roster (name | pos | proj):
Quinshon Judkins | RB | 5.0
Kenneth Walker III | RB | 13.7
Will Shipley | RB | 3.7
Rico Dowdle | RB | 5.1
Najee Harris | RB | 6.7
Derrick Henry | RB | 16.2
Alvin Kamara | RB | 14.7
Dylan Sampson | RB | 6.0
Tyler Lockett | WR | 6.0
Jaxon Smith-Njigba | WR | 13.8
Garrett Wilson | WR | 12.6
Jalen Tolbert | WR | 4.3
Xavier Legette | WR | 7.4
Xavier Worthy | WR | 14.9
Tyreek Hill | WR | 14.7
Marquise Brown | WR | 10.1
Hunter Henry | TE | 8.3
Cole Kmet | TE | 3.9
Tucker Kraft | TE | 8.8
Tyler Warren | TE | 8.2
C.J. Stroud | QB | 16.2
Justin Herbert | QB | 16.6
J.J. McCarthy | QB | 16.7
Sam Darnold | QB | 15.3

Task: Propose a trade to maximize Team A's projected points. Do not consider Team B's perspective. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
