You are negotiating an NFL fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), rationale (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Rachaad White | RB | 8.1
Kenneth Walker III | RB | 13.7
Elijah Mitchell | RB | 2.7
Justice Hill | RB | 6.1
Jahmyr Gibbs | RB | 17.9
Jordan Mason | RB | 7.4
Chuba Hubbard | RB | 13.8
Ashton Jeanty | RB | 15.5
Travis Hunter | WR | 12.7
Rome Odunze | WR | 11.6
Joshua Palmer | WR | 7.6
Tre' Harris | WR | 6.7
Rashid Shaheed | WR | 9.8
Josh Reynolds | WR | 6.1
DJ Moore | WR | 13.1
Greg Dortch | WR | 3.9
Will Dissly | TE | 4.1
Chig Okonkwo | TE | 7.0
Kyle Pitts Sr. | TE | 8.0
T.J. Hockenson | TE | 10.7
Dak Prescott | QB | 16.4
Baker Mayfield | QB | 19.2
Anthony Richardson Sr. | QB | 13.8
Cameron Ward | QB | 13.9

Team B Roster (name | pos | proj):
Jerome Ford | RB | 9.0
Christian McCaffrey | RB | 18.6
Tyler Allgeier | RB | 5.6
Bhayshul Tuten | RB | 4.9
Jaylen Wright | RB | 5.0
Omarion Hampton | RB | 14.0
Jaylen Warren | RB | 11.0
D'Andre Swift | RB | 11.4
Marquise Brown | WR | 10.1
Nico Collins | WR | 15.9
Brandin Cooks | WR | 5.4
Troy Franklin | WR | 4.0
Adonai Mitchell | WR | 5.1
Jayden Higgins | WR | 9.5
Calvin Austin III | WR | 5.5
Malik Nabers | WR | 16.7
Jonnu Smith | TE | 6.8
Jake Ferguson | TE | 8.5
Trey McBride | TE | 14.6
Noah Gray | TE | 5.0
Jordan Love | QB | 16.3
Bo Nix | QB | 18.8
Kyler Murray | QB | 18.5
Caleb Williams | QB | 16.1

Task: First, internally simulate what Team B would accept given its roster, then propose a trade from Team A accordingly. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
