You are negotiating a fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), reasoning (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Jaylen Wright | RB | 5.0
Jaydon Blue | RB | 5.3
Kareem Hunt | RB | 4.8
Aaron Jones Sr. | RB | 11.5
Nick Chubb | RB | 4.7
Trey Benson | RB | 7.6
D'Andre Swift | RB | 11.4
Tony Pollard | RB | 10.4
Tre' Harris | WR | 6.7
Nick Westbrook-Ikhine | WR | 5.5
Jalen McMillan | WR | 9.2
Andrei Iosivas | WR | 4.2
Terry McLaurin | WR | 14.3
Jauan Jennings | WR | 12.2
Justin Jefferson | WR | 18.4
Ricky Pearsall | WR | 11.1
Jonnu Smith | TE | 6.8
Colston Loveland | TE | 7.8
Brenton Strange | TE | 7.7
Dallas Goedert | TE | 9.2
Jordan Love | QB | 16.3
Kenny Pickett | QB | 15.9
Michael Penix Jr. | QB | 15.2
Bryce Young | QB | 15.5

Team B Roster (name | pos | proj):
Tyjae Spears | RB | 7.5
Jordan Mason | RB | 7.4
Justice Hill | RB | 6.1
Derrick Henry | RB | 16.2
Isaac Guerendo | RB | 4.2
Jonathan Taylor | RB | 16.2
Alvin Kamara | RB | 14.7
Kaleb Johnson | RB | 10.7
Rashod Bateman | WR | 8.5
Calvin Austin III | WR | 5.5
Cooper Kupp | WR | 11.1
Deebo Samuel Sr. | WR | 11.5
Jaylin Noel | WR | 4.8
CeeDee Lamb | WR | 17.4
Josh Reynolds | WR | 6.1
Jameson Williams | WR | 12.6
Trey McBride | TE | 14.6
Chig Okonkwo | TE | 7.0
Cade Otton | TE | 7.7
Travis Kelce | TE | 11.0
Trevor Lawrence | QB | 17.9
J.J. McCarthy | QB | 16.7
Cameron Ward | QB | 13.9
Justin Herbert | QB | 16.6

Task: You are the manager of Team A. Your goal is to improve Team A by proposing a mutually beneficial trade with Team B that Team B is likely to accept. Consider what team B needs or might accept. You may offer any players from your own team in exchange for players on Team B's roster. Carefully analyze both teams rosters, including positional strengths and weaknesses. Your trade should consider Team B's perspective which includes their positional needs and likely willingness to accept the trade and also be fair and realistic. Your task is to propose a trade and clearly state which player(s) each team would give and receive. Think step by step through your analysis. After, write a detailed explanation on why the trade benefits both teams, what needs each team is addressing and why Team B is likely to accept the trade. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
