You are negotiating an NFL fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), rationale (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
James Conner | RB | 14.1
De'Von Achane | RB | 17.1
Tyjae Spears | RB | 7.5
Will Shipley | RB | 3.7
Bijan Robinson | RB | 18.5
Jerome Ford | RB | 9.0
Justice Hill | RB | 6.1
Ray Davis | RB | 5.9
Justin Jefferson | WR | 18.4
Pat Bryant | WR | 4.5
Deebo Samuel Sr. | WR | 11.5
Ricky Pearsall | WR | 11.1
Terry McLaurin | WR | 14.3
Tee Higgins | WR | 14.4
Greg Dortch | WR | 3.9
Nick Westbrook-Ikhine | WR | 5.5
Brock Bowers | TE | 14.4
Dalton Kincaid | TE | 8.6
Mike Gesicki | TE | 7.1
Theo Johnson | TE | 6.9
Justin Fields | QB | 15.8
Matthew Stafford | QB | 15.3
Drake Maye | QB | 17.1
Sam Darnold | QB | 15.3

Team B Roster (name | pos | proj):
Kendre Miller | RB | 3.5
RJ Harvey | RB | 11.8
Tony Pollard | RB | 10.4
Rachaad White | RB | 8.1
Chuba Hubbard | RB | 13.8
Brian Robinson Jr. | RB | 10.4
Javonte Williams | RB | 8.8
Travis Etienne Jr. | RB | 10.0
Jauan Jennings | WR | 12.2
Kyle Williams | WR | 6.6
Davante Adams | WR | 13.4
Ja'Marr Chase | WR | 19.5
Garrett Wilson | WR | 12.6
Michael Wilson | WR | 6.9
Jayden Reed | WR | 11.0
KaVontae Turpin | WR | 4.2
Mark Andrews | TE | 10.8
Kyle Pitts Sr. | TE | 8.0
Ja'Tavion Sanders | TE | 6.0
Trey McBride | TE | 14.6
Russell Wilson | QB | 15.4
Geno Smith | QB | 14.4
Anthony Richardson Sr. | QB | 13.8
Tua Tagovailoa | QB | 15.5

Task: Propose a trade to maximize Team A's projected points. Do not consider Team B's perspective. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
