You are negotiating an NFL fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), rationale (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Kyren Williams | RB | 15.2
Isiah Pacheco | RB | 11.5
Travis Etienne Jr. | RB | 10.0
Aaron Jones Sr. | RB | 11.5
Christian McCaffrey | RB | 18.6
Woody Marks | RB | 3.3
Jahmyr Gibbs | RB | 17.9
James Cook | RB | 14.2
Noah Brown | WR | 4.3
Tetairoa McMillan | WR | 12.4
Jayden Reed | WR | 11.0
Travis Hunter | WR | 12.7
Jalen Tolbert | WR | 4.3
Matthew Golden | WR | 11.6
DeMario Douglas | WR | 7.6
Garrett Wilson | WR | 12.6
Michael Mayer | TE | 4.0
Will Dissly | TE | 4.1
Mike Gesicki | TE | 7.1
Hunter Henry | TE | 8.3
Patrick Mahomes II | QB | 19.9
Jordan Love | QB | 16.3
Geno Smith | QB | 14.4
Lamar Jackson | QB | 21.6

Team B Roster (name | pos | proj):
James Conner | RB | 14.1
Austin Ekeler | RB | 8.2
Samaje Perine | RB | 3.5
Jonathan Taylor | RB | 16.2
Cam Skattebo | RB | 7.8
D'Andre Swift | RB | 11.4
Tyrone Tracy Jr. | RB | 11.0
Kenneth Walker III | RB | 13.7
Ricky Pearsall | WR | 11.1
Joshua Palmer | WR | 7.6
Luther Burden III | WR | 7.8
Nick Westbrook-Ikhine | WR | 5.5
Justin Jefferson | WR | 18.4
Jayden Higgins | WR | 9.5
Chris Godwin | WR | 4.8
Christian Kirk | WR | 7.8
Kyle Pitts Sr. | TE | 8.0
Noah Gray | TE | 5.0
Isaiah Likely | TE | 5.5
Brenton Strange | TE | 7.7
Caleb Williams | QB | 16.1
Russell Wilson | QB | 15.4
Sam Darnold | QB | 15.3
Dak Prescott | QB | 16.4

Task: Your goal is to improve Team A while proposing a trade that Team B is likely to accept. Explicitly consider Team B's needs and incentives before proposing. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
