You are negotiating a fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), reasoning (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Woody Marks | RB | 3.3
J.K. Dobbins | RB | 10.9
Justice Hill | RB | 6.1
Jahmyr Gibbs | RB | 17.9
Austin Ekeler | RB | 8.2
Jordan Mason | RB | 7.4
Chase Brown | RB | 15.4
Brian Robinson Jr. | RB | 10.4
DK Metcalf | WR | 12.7
Tyler Lockett | WR | 6.0
Puka Nacua | WR | 16.9
Jaylen Waddle | WR | 11.7
Travis Hunter | WR | 12.7
Marvin Mims Jr. | WR | 9.2
Zay Flowers | WR | 13.1
Wan'Dale Robinson | WR | 8.5
Brock Bowers | TE | 14.4
Mason Taylor | TE | 7.0
Tucker Kraft | TE | 8.8
George Kittle | TE | 13.2
Michael Penix Jr. | QB | 15.2
Bryce Young | QB | 15.5
Jalen Hurts | QB | 22.0
Baker Mayfield | QB | 19.2

Team B Roster (name | pos | proj):
RJ Harvey | RB | 11.8
Jaydon Blue | RB | 5.3
Joe Mixon | RB | 8.9
Bhayshul Tuten | RB | 4.9
Ray Davis | RB | 5.9
Nick Chubb | RB | 4.7
Quinshon Judkins | RB | 5.0
Alvin Kamara | RB | 14.7
Nick Westbrook-Ikhine | WR | 5.5
Jameson Williams | WR | 12.6
Ricky Pearsall | WR | 11.1
Jalen Royals | WR | 4.1
Darnell Mooney | WR | 9.8
Justin Jefferson | WR | 18.4
Pat Bryant | WR | 4.5
Khalil Shakir | WR | 11.7
Will Dissly | TE | 4.1
Travis Kelce | TE | 11.0
Sam LaPorta | TE | 11.2
Kyle Pitts Sr. | TE | 8.0
Brock Purdy | QB | 17.7
C.J. Stroud | QB | 16.2
Caleb Williams | QB | 16.1
Lamar Jackson | QB | 21.6

Task: You are the manager of Team A in a fantasy football league. Your goal is to improve your team by proposing a trade with team B. Review both rosters and propose a trade that accomplishes your goal. Provide a detailed explanation for your trade. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
