You are negotiating an NFL fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), rationale (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Alvin Kamara | RB | 14.7
Kyle Monangai | RB | 2.4
Tyjae Spears | RB | 7.5
Elijah Mitchell | RB | 2.7
Rachaad White | RB | 8.1
Woody Marks | RB | 3.3
Blake Corum | RB | 2.4
Ashton Jeanty | RB | 15.5
Wan'Dale Robinson | WR | 8.5
DJ Moore | WR | 13.1
Jalen Tolbert | WR | 4.3
Andrei Iosivas | WR | 4.2
Jalen Royals | WR | 4.1
Michael Pittman Jr. | WR | 10.3
Brandin Cooks | WR | 5.4
KaVontae Turpin | WR | 4.2
Tyler Higbee | TE | 6.7
Evan Engram | TE | 9.7
Cade Otton | TE | 7.7
Mark Andrews | TE | 10.8
Justin Fields | QB | 15.8
Josh Allen | QB | 21.8
Jordan Love | QB | 16.3
Caleb Williams | QB | 16.1

Team B Roster (name | pos | proj):
TreVeyon Henderson | RB | 12.2
James Conner | RB | 14.1
Tony Pollard | RB | 10.4
Justice Hill | RB | 6.1
Kyren Williams | RB | 15.2
Omarion Hampton | RB | 14.0
Breece Hall | RB | 12.7
Cam Skattebo | RB | 7.8
Zay Flowers | WR | 13.1
DeAndre Hopkins | WR | 5.7
Ricky Pearsall | WR | 11.1
Marquise Brown | WR | 10.1
Chris Godwin | WR | 4.8
Tee Higgins | WR | 14.4
Nick Westbrook-Ikhine | WR | 5.5
Rashee Rice | WR | 6.7
Pat Freiermuth | TE | 7.1
Sam LaPorta | TE | 11.2
Tucker Kraft | TE | 8.8
Noah Gray | TE | 5.0
Brock Purdy | QB | 17.7
Matthew Stafford | QB | 15.3
Baker Mayfield | QB | 19.2
Jalen Hurts | QB | 22.0

Task: Your goal is to improve Team A while proposing a trade that Team B is likely to accept. Explicitly consider Team B's needs and incentives before proposing. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
