You are negotiating an NFL fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), rationale (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Ashton Jeanty | RB | 15.5
Blake Corum | RB | 2.4
Breece Hall | RB | 12.7
Woody Marks | RB | 3.3
James Cook | RB | 14.2
Rico Dowdle | RB | 5.1
Kyle Monangai | RB | 2.4
TreVeyon Henderson | RB | 12.2
Mike Evans | WR | 14.6
Justin Jefferson | WR | 18.4
Noah Brown | WR | 4.3
Tee Higgins | WR | 14.4
Jalen Tolbert | WR | 4.3
Adonai Mitchell | WR | 5.1
Amon-Ra St. Brown | WR | 16.9
Jerry Jeudy | WR | 12.4
Jake Ferguson | TE | 8.5
Michael Mayer | TE | 4.0
Travis Kelce | TE | 11.0
Colston Loveland | TE | 7.8
J.J. McCarthy | QB | 16.7
Dak Prescott | QB | 16.4
Tua Tagovailoa | QB | 15.5
Lamar Jackson | QB | 21.6

Team B Roster (name | pos | proj):
J.K. Dobbins | RB | 10.9
Elijah Mitchell | RB | 2.7
De'Von Achane | RB | 17.1
Ray Davis | RB | 5.9
Tank Bigsby | RB | 7.4
Tyrone Tracy Jr. | RB | 11.0
Jaylen Warren | RB | 11.0
Chase Brown | RB | 15.4
Marquez Valdes-Scantling | WR | 4.5
Kyle Williams | WR | 6.6
Jalen Coker | WR | 5.0
Deebo Samuel Sr. | WR | 11.5
Tetairoa McMillan | WR | 12.4
Emeka Egbuka | WR | 10.6
DeVonta Smith | WR | 13.0
Ray-Ray McCloud III | WR | 5.1
Cade Otton | TE | 7.7
Theo Johnson | TE | 6.9
Mike Gesicki | TE | 7.1
Isaiah Likely | TE | 5.5
Jordan Love | QB | 16.3
Jayden Daniels | QB | 21.4
Justin Fields | QB | 15.8
Justin Herbert | QB | 16.6

Task: First, internally simulate what Team B would accept given its roster, then propose a trade from Team A accordingly. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
