You are negotiating an NFL fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), rationale (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Kenneth Walker III | RB | 13.7
RJ Harvey | RB | 11.8
Rachaad White | RB | 8.1
D'Andre Swift | RB | 11.4
Alvin Kamara | RB | 14.7
David Montgomery | RB | 11.5
Cam Skattebo | RB | 7.8
Jaylen Wright | RB | 5.0
Dyami Brown | WR | 6.7
Brian Thomas Jr. | WR | 16.0
Chris Olave | WR | 10.9
Jordan Whittington | WR | 4.9
Demarcus Robinson | WR | 4.9
Quentin Johnston | WR | 6.3
Noah Brown | WR | 4.3
Tre' Harris | WR | 6.7
Hunter Henry | TE | 8.3
David Njoku | TE | 10.6
Cade Otton | TE | 7.7
Tyler Higbee | TE | 6.7
Drake Maye | QB | 17.1
Kenny Pickett | QB | 15.9
Joe Burrow | QB | 20.0
Kyler Murray | QB | 18.5

Team B Roster (name | pos | proj):
Rhamondre Stevenson | RB | 10.3
MarShawn Lloyd | RB | 3.3
Rico Dowdle | RB | 5.1
Chuba Hubbard | RB | 13.8
Kendre Miller | RB | 3.5
Jaylen Warren | RB | 11.0
Najee Harris | RB | 6.7
Jerome Ford | RB | 9.0
Christian Kirk | WR | 7.8
Jayden Reed | WR | 11.0
DeAndre Hopkins | WR | 5.7
Zay Flowers | WR | 13.1
Nick Westbrook-Ikhine | WR | 5.5
Drake London | WR | 15.2
Romeo Doubs | WR | 7.6
DJ Moore | WR | 13.1
Chig Okonkwo | TE | 7.0
Travis Kelce | TE | 11.0
Evan Engram | TE | 9.7
Tyler Conklin | TE | 4.9
Patrick Mahomes II | QB | 19.9
Cameron Ward | QB | 13.9
Jordan Love | QB | 16.3
Michael Penix Jr. | QB | 15.2

Task: Propose a trade to maximize Team A's projected points. Do not consider Team B's perspective. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
