You are negotiating an NFL fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), rationale (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Bucky Irving | RB | 16.3
Rachaad White | RB | 8.1
Miles Sanders | RB | 4.0
Bhayshul Tuten | RB | 4.9
Omarion Hampton | RB | 14.0
Rhamondre Stevenson | RB | 10.3
Isaac Guerendo | RB | 4.2
Jaylen Warren | RB | 11.0
Tee Higgins | WR | 14.4
Cooper Kupp | WR | 11.1
Adam Thielen | WR | 9.0
Davante Adams | WR | 13.4
Ja'Marr Chase | WR | 19.5
Nick Westbrook-Ikhine | WR | 5.5
Adonai Mitchell | WR | 5.1
Xavier Worthy | WR | 14.9
Noah Fant | TE | 4.6
Hunter Henry | TE | 8.3
T.J. Hockenson | TE | 10.7
Ja'Tavion Sanders | TE | 6.0
Bo Nix | QB | 18.8
Kenny Pickett | QB | 15.9
Josh Allen | QB | 21.8
Justin Herbert | QB | 16.6

Team B Roster (name | pos | proj):
Breece Hall | RB | 12.7
Tank Bigsby | RB | 7.4
Woody Marks | RB | 3.3
RJ Harvey | RB | 11.8
Ty Johnson | RB | 4.2
Josh Jacobs | RB | 15.5
Najee Harris | RB | 6.7
Alvin Kamara | RB | 14.7
Jayden Higgins | WR | 9.5
Marvin Harrison Jr. | WR | 13.3
Emeka Egbuka | WR | 10.6
Jalen Royals | WR | 4.1
Jaylin Noel | WR | 4.8
Calvin Ridley | WR | 11.8
Michael Wilson | WR | 6.9
DeMario Douglas | WR | 7.6
Mark Andrews | TE | 10.8
Will Dissly | TE | 4.1
Evan Engram | TE | 9.7
Michael Mayer | TE | 4.0
Russell Wilson | QB | 15.4
Jalen Hurts | QB | 22.0
Cameron Ward | QB | 13.9
Geno Smith | QB | 14.4

Task: Your goal is to improve Team A while proposing a trade that Team B is likely to accept. Explicitly consider Team B's needs and incentives before proposing. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
