You are negotiating an NFL fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), rationale (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Rico Dowdle | RB | 5.1
Breece Hall | RB | 12.7
Jordan Mason | RB | 7.4
Jerome Ford | RB | 9.0
Derrick Henry | RB | 16.2
Tyrone Tracy Jr. | RB | 11.0
Alvin Kamara | RB | 14.7
Chuba Hubbard | RB | 13.8
Michael Wilson | WR | 6.9
Jaylen Waddle | WR | 11.7
Tee Higgins | WR | 14.4
Tre' Harris | WR | 6.7
Marvin Harrison Jr. | WR | 13.3
Xavier Worthy | WR | 14.9
Jalen Royals | WR | 4.1
Keenan Allen | WR | 9.1
Tyler Higbee | TE | 6.7
Theo Johnson | TE | 6.9
AJ Barner | TE | 4.7
Tucker Kraft | TE | 8.8
Geno Smith | QB | 14.4
Kyler Murray | QB | 18.5
Cameron Ward | QB | 13.9
Lamar Jackson | QB | 21.6

Team B Roster (name | pos | proj):
James Conner | RB | 14.1
Saquon Barkley | RB | 19.3
Omarion Hampton | RB | 14.0
Dylan Sampson | RB | 6.0
Zach Charbonnet | RB | 8.0
David Montgomery | RB | 11.5
Christian McCaffrey | RB | 18.6
Raheem Mostert | RB | 3.3
Malik Nabers | WR | 16.7
Dyami Brown | WR | 6.7
Michael Pittman Jr. | WR | 10.3
Josh Downs | WR | 9.9
Ja'Marr Chase | WR | 19.5
Adam Thielen | WR | 9.0
Khalil Shakir | WR | 11.7
Emeka Egbuka | WR | 10.6
Mason Taylor | TE | 7.0
Hunter Henry | TE | 8.3
Sam LaPorta | TE | 11.2
Colston Loveland | TE | 7.8
Jalen Hurts | QB | 22.0
Drake Maye | QB | 17.1
Matthew Stafford | QB | 15.3
Jayden Daniels | QB | 21.4

Task: First, internally simulate what Team B would accept given its roster, then propose a trade from Team A accordingly. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
