You are negotiating a fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), reasoning (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Kareem Hunt | RB | 4.8
Alvin Kamara | RB | 14.7
Jerome Ford | RB | 9.0
Saquon Barkley | RB | 19.3
Blake Corum | RB | 2.4
Justice Hill | RB | 6.1
Joe Mixon | RB | 8.9
Trey Benson | RB | 7.6
Keon Coleman | WR | 10.0
Tyreek Hill | WR | 14.7
Drake London | WR | 15.2
Amon-Ra St. Brown | WR | 16.9
Khalil Shakir | WR | 11.7
Jordan Whittington | WR | 4.9
Darius Slayton | WR | 6.6
Xavier Legette | WR | 7.4
Dalton Schultz | TE | 7.0
Elijah Arroyo | TE | 6.4
Mason Taylor | TE | 7.0
Noah Fant | TE | 4.6
Jared Goff | QB | 16.2
Dak Prescott | QB | 16.4
Patrick Mahomes II | QB | 19.9
Bryce Young | QB | 15.5

Team B Roster (name | pos | proj):
Aaron Jones Sr. | RB | 11.5
Cam Skattebo | RB | 7.8
Travis Etienne Jr. | RB | 10.0
Ty Johnson | RB | 4.2
Chase Brown | RB | 15.4
Omarion Hampton | RB | 14.0
Tank Bigsby | RB | 7.4
Josh Jacobs | RB | 15.5
Allen Lazard | WR | 4.4
Malik Nabers | WR | 16.7
Jaylen Waddle | WR | 11.7
Demarcus Robinson | WR | 4.9
KaVontae Turpin | WR | 4.2
Courtland Sutton | WR | 12.9
DeVonta Smith | WR | 13.0
Tre' Harris | WR | 6.7
Sam LaPorta | TE | 11.2
Jonnu Smith | TE | 6.8
Will Dissly | TE | 4.1
Dallas Goedert | TE | 9.2
Geno Smith | QB | 14.4
Caleb Williams | QB | 16.1
Kenny Pickett | QB | 15.9
Baker Mayfield | QB | 19.2

Task: You are the manager of Team A. Your goal is to improve Team A by proposing a mutually beneficial trade with Team B that Team B is likely to accept. Consider what team B needs or might accept. You may offer any players from your own team in exchange for players on Team B's roster. Carefully analyze both teams rosters, including positional strengths and weaknesses. Your trade should consider Team B's perspective which includes their positional needs and likely willingness to accept the trade and also be fair and realistic. Your task is to propose a trade and clearly state which player(s) each team would give and receive. Think step by step through your analysis. After, write a detailed explanation on why the trade benefits both teams, what needs each team is addressing and why Team B is likely to accept the trade. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
