You are negotiating an NFL fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), rationale (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Bijan Robinson | RB | 18.5
Omarion Hampton | RB | 14.0
Raheem Mostert | RB | 3.3
Travis Etienne Jr. | RB | 10.0
David Montgomery | RB | 11.5
TreVeyon Henderson | RB | 12.2
Chuba Hubbard | RB | 13.8
RJ Harvey | RB | 11.8
Kyle Williams | WR | 6.6
Jayden Reed | WR | 11.0
Zay Flowers | WR | 13.1
Curtis Samuel | WR | 4.0
Tee Higgins | WR | 14.4
Pat Bryant | WR | 4.5
Quentin Johnston | WR | 6.3
Michael Wilson | WR | 6.9
T.J. Hockenson | TE | 10.7
Dalton Schultz | TE | 7.0
Mike Gesicki | TE | 7.1
Cole Kmet | TE | 3.9
Jared Goff | QB | 16.2
Anthony Richardson Sr. | QB | 13.8
Josh Allen | QB | 21.8
Matthew Stafford | QB | 15.3

Team B Roster (name | pos | proj):
Najee Harris | RB | 6.7
J.K. Dobbins | RB | 10.9
Tank Bigsby | RB | 7.4
Jonathan Taylor | RB | 16.2
Blake Corum | RB | 2.4
Bhayshul Tuten | RB | 4.9
Ty Johnson | RB | 4.2
Isiah Pacheco | RB | 11.5
Wan'Dale Robinson | WR | 8.5
Courtland Sutton | WR | 12.9
Tyreek Hill | WR | 14.7
Brian Thomas Jr. | WR | 16.0
Matthew Golden | WR | 11.6
Rome Odunze | WR | 11.6
Nick Westbrook-Ikhine | WR | 5.5
Chris Godwin | WR | 4.8
Cade Otton | TE | 7.7
Tyler Warren | TE | 8.2
Colston Loveland | TE | 7.8
Jake Ferguson | TE | 8.5
Trevor Lawrence | QB | 17.9
Jayden Daniels | QB | 21.4
Bo Nix | QB | 18.8
Geno Smith | QB | 14.4

Task: Propose a mutually beneficial trade. Infer what Team B might value from the rosters; do not state assumptions explicitly. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
