You are negotiating a fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), reasoning (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Cam Skattebo | RB | 7.8
De'Von Achane | RB | 17.1
Miles Sanders | RB | 4.0
Trey Benson | RB | 7.6
Quinshon Judkins | RB | 5.0
Samaje Perine | RB | 3.5
Bucky Irving | RB | 16.3
Tank Bigsby | RB | 7.4
Noah Brown | WR | 4.3
Tyler Lockett | WR | 6.0
Marquez Valdes-Scantling | WR | 4.5
Rome Odunze | WR | 11.6
Pat Bryant | WR | 4.5
Diontae Johnson | WR | 5.4
Jaylin Noel | WR | 4.8
Jayden Higgins | WR | 9.5
Evan Engram | TE | 9.7
Sam LaPorta | TE | 11.2
David Njoku | TE | 10.6
Dallas Goedert | TE | 9.2
Russell Wilson | QB | 15.4
Jalen Hurts | QB | 22.0
Baker Mayfield | QB | 19.2
Jordan Love | QB | 16.3

Team B Roster (name | pos | proj):
Blake Corum | RB | 2.4
Joe Mixon | RB | 8.9
Woody Marks | RB | 3.3
Saquon Barkley | RB | 19.3
Raheem Mostert | RB | 3.3
D'Andre Swift | RB | 11.4
Kenneth Walker III | RB | 13.7
Rachaad White | RB | 8.1
Michael Wilson | WR | 6.9
Keenan Allen | WR | 9.1
Chris Godwin | WR | 4.8
Jalen Royals | WR | 4.1
Nico Collins | WR | 15.9
Jakobi Meyers | WR | 11.5
DeMario Douglas | WR | 7.6
Michael Pittman Jr. | WR | 10.3
Travis Kelce | TE | 11.0
Brenton Strange | TE | 7.7
Chig Okonkwo | TE | 7.0
Darren Waller | TE | 7.2
Kyler Murray | QB | 18.5
Anthony Richardson Sr. | QB | 13.8
Brock Purdy | QB | 17.7
Geno Smith | QB | 14.4

Task: You are the manager of Team A in a fantasy football league. Your goal is to improve your team by proposing a trade with team B. Review both rosters and propose a trade that accomplishes your goal. Provide a detailed explanation for your trade. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
