You are negotiating an NFL fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), rationale (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Breece Hall | RB | 12.7
Jonathan Taylor | RB | 16.2
Isiah Pacheco | RB | 11.5
Woody Marks | RB | 3.3
Najee Harris | RB | 6.7
Zach Charbonnet | RB | 8.0
Tony Pollard | RB | 10.4
Jaylen Wright | RB | 5.0
Greg Dortch | WR | 3.9
Diontae Johnson | WR | 5.4
Ja'Marr Chase | WR | 19.5
Jameson Williams | WR | 12.6
Kyle Williams | WR | 6.6
Justin Jefferson | WR | 18.4
Darnell Mooney | WR | 9.8
Khalil Shakir | WR | 11.7
Dallas Goedert | TE | 9.2
Jonnu Smith | TE | 6.8
Ja'Tavion Sanders | TE | 6.0
Tyler Conklin | TE | 4.9
Jalen Hurts | QB | 22.0
Bo Nix | QB | 18.8
Justin Fields | QB | 15.8
Trevor Lawrence | QB | 17.9

Team B Roster (name | pos | proj):
Tyjae Spears | RB | 7.5
Tyler Allgeier | RB | 5.6
Nick Chubb | RB | 4.7
Kendre Miller | RB | 3.5
Rhamondre Stevenson | RB | 10.3
Trey Benson | RB | 7.6
Kenneth Walker III | RB | 13.7
Omarion Hampton | RB | 14.0
Tetairoa McMillan | WR | 12.4
Jayden Higgins | WR | 9.5
Emeka Egbuka | WR | 10.6
Davante Adams | WR | 13.4
DJ Moore | WR | 13.1
Brian Thomas Jr. | WR | 16.0
Rashid Shaheed | WR | 9.8
Ladd McConkey | WR | 14.6
Evan Engram | TE | 9.7
Darren Waller | TE | 7.2
AJ Barner | TE | 4.7
Hunter Henry | TE | 8.3
Matthew Stafford | QB | 15.3
Drake Maye | QB | 17.1
Dak Prescott | QB | 16.4
Patrick Mahomes II | QB | 19.9

Task: Your goal is to improve Team A while proposing a trade that Team B is likely to accept. Explicitly consider Team B's needs and incentives before proposing. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
