You are negotiating a fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), reasoning (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Isiah Pacheco | RB | 11.5
Austin Ekeler | RB | 8.2
Kyle Monangai | RB | 2.4
RJ Harvey | RB | 11.8
TreVeyon Henderson | RB | 12.2
Kareem Hunt | RB | 4.8
MarShawn Lloyd | RB | 3.3
Ty Johnson | RB | 4.2
DK Metcalf | WR | 12.7
Jameson Williams | WR | 12.6
Dyami Brown | WR | 6.7
Curtis Samuel | WR | 4.0
Allen Lazard | WR | 4.4
George Pickens | WR | 12.1
Puka Nacua | WR | 16.9
Keon Coleman | WR | 10.0
Jake Ferguson | TE | 8.5
Darren Waller | TE | 7.2
Sam LaPorta | TE | 11.2
Mike Gesicki | TE | 7.1
Kyler Murray | QB | 18.5
Dak Prescott | QB | 16.4
Jordan Love | QB | 16.3
Anthony Richardson Sr. | QB | 13.8

Team B Roster (name | pos | proj):
Justice Hill | RB | 6.1
Jonathan Taylor | RB | 16.2
Miles Sanders | RB | 4.0
Bucky Irving | RB | 16.3
Derrick Henry | RB | 16.2
Trey Benson | RB | 7.6
Samaje Perine | RB | 3.5
Bhayshul Tuten | RB | 4.9
Troy Franklin | WR | 4.0
Kyle Williams | WR | 6.6
Ray-Ray McCloud III | WR | 5.1
Ricky Pearsall | WR | 11.1
Andrei Iosivas | WR | 4.2
Noah Brown | WR | 4.3
Marvin Harrison Jr. | WR | 13.3
Tyler Lockett | WR | 6.0
Colston Loveland | TE | 7.8
Mason Taylor | TE | 7.0
T.J. Hockenson | TE | 10.7
George Kittle | TE | 13.2
J.J. McCarthy | QB | 16.7
Geno Smith | QB | 14.4
Jalen Hurts | QB | 22.0
Justin Herbert | QB | 16.6

Task: You are the manager of Team A. Your goal is to improve Team A by proposing a mutually beneficial trade with Team B that Team B is likely to accept. Consider what team B needs or might accept. You may offer any players from your own team in exchange for players on Team B's roster. Carefully analyze both teams rosters, including positional strengths and weaknesses. Your trade should consider Team B's perspective which includes their positional needs and likely willingness to accept the trade and also be fair and realistic. Your task is to propose a trade and clearly state which player(s) each team would give and receive. Think step by step through your analysis. After, write a detailed explanation on why the trade benefits both teams, what needs each team is addressing and why Team B is likely to accept the trade. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
