You are negotiating an NFL fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), rationale (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Jaylen Wright | RB | 5.0
Nick Chubb | RB | 4.7
Travis Etienne Jr. | RB | 10.0
Ashton Jeanty | RB | 15.5
Raheem Mostert | RB | 3.3
Tyrone Tracy Jr. | RB | 11.0
Quinshon Judkins | RB | 5.0
Kaleb Johnson | RB | 10.7
Emeka Egbuka | WR | 10.6
Keon Coleman | WR | 10.0
Romeo Doubs | WR | 7.6
Marvin Mims Jr. | WR | 9.2
Michael Wilson | WR | 6.9
Khalil Shakir | WR | 11.7
Ja'Marr Chase | WR | 19.5
Travis Hunter | WR | 12.7
Brenton Strange | TE | 7.7
Brock Bowers | TE | 14.4
Dalton Schultz | TE | 7.0
Tucker Kraft | TE | 8.8
Justin Herbert | QB | 16.6
Caleb Williams | QB | 16.1
Kenny Pickett | QB | 15.9
Bryce Young | QB | 15.5

Team B Roster (name | pos | proj):
Aaron Jones Sr. | RB | 11.5
Bhayshul Tuten | RB | 4.9
Alvin Kamara | RB | 14.7
David Montgomery | RB | 11.5
Kendre Miller | RB | 3.5
Rhamondre Stevenson | RB | 10.3
Jahmyr Gibbs | RB | 17.9
TreVeyon Henderson | RB | 12.2
Pat Bryant | WR | 4.5
Courtland Sutton | WR | 12.9
Jalen McMillan | WR | 9.2
Michael Pittman Jr. | WR | 10.3
Rashod Bateman | WR | 8.5
Nick Westbrook-Ikhine | WR | 5.5
Justin Jefferson | WR | 18.4
Josh Reynolds | WR | 6.1
Michael Mayer | TE | 4.0
Dallas Goedert | TE | 9.2
Evan Engram | TE | 9.7
AJ Barner | TE | 4.7
Justin Fields | QB | 15.8
Dak Prescott | QB | 16.4
Lamar Jackson | QB | 21.6
Patrick Mahomes II | QB | 19.9

Task: Propose a trade to maximize Team A's projected points. Do not consider Team B's perspective. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
