You are negotiating an NFL fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), rationale (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Raheem Mostert | RB | 3.3
Derrick Henry | RB | 16.2
Najee Harris | RB | 6.7
Kareem Hunt | RB | 4.8
Chase Brown | RB | 15.4
Tony Pollard | RB | 10.4
De'Von Achane | RB | 17.1
Nick Chubb | RB | 4.7
Kyle Williams | WR | 6.6
Emeka Egbuka | WR | 10.6
Khalil Shakir | WR | 11.7
Puka Nacua | WR | 16.9
Keenan Allen | WR | 9.1
Andrei Iosivas | WR | 4.2
Jerry Jeudy | WR | 12.4
Tetairoa McMillan | WR | 12.4
Chig Okonkwo | TE | 7.0
Jonnu Smith | TE | 6.8
Dalton Kincaid | TE | 8.6
Theo Johnson | TE | 6.9
Dak Prescott | QB | 16.4
Matthew Stafford | QB | 15.3
Jordan Love | QB | 16.3
Drake Maye | QB | 17.1

Team B Roster (name | pos | proj):
David Montgomery | RB | 11.5
Alvin Kamara | RB | 14.7
Austin Ekeler | RB | 8.2
Javonte Williams | RB | 8.8
Jerome Ford | RB | 9.0
Kaleb Johnson | RB | 10.7
Samaje Perine | RB | 3.5
Miles Sanders | RB | 4.0
Dyami Brown | WR | 6.7
Greg Dortch | WR | 3.9
Allen Lazard | WR | 4.4
Jakobi Meyers | WR | 11.5
Jayden Reed | WR | 11.0
Malik Nabers | WR | 16.7
Curtis Samuel | WR | 4.0
Rashee Rice | WR | 6.7
Tyler Warren | TE | 8.2
Brock Bowers | TE | 14.4
Jake Ferguson | TE | 8.5
Darren Waller | TE | 7.2
Lamar Jackson | QB | 21.6
Bryce Young | QB | 15.5
Bo Nix | QB | 18.8
Russell Wilson | QB | 15.4

Task: First, internally simulate what Team B would accept given its roster, then propose a trade from Team A accordingly. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
