You are negotiating an NFL fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), rationale (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Saquon Barkley | RB | 19.3
Jaylen Wright | RB | 5.0
Tyjae Spears | RB | 7.5
J.K. Dobbins | RB | 10.9
Trey Benson | RB | 7.6
Christian McCaffrey | RB | 18.6
Bhayshul Tuten | RB | 4.9
Austin Ekeler | RB | 8.2
Rome Odunze | WR | 11.6
Ricky Pearsall | WR | 11.1
DJ Moore | WR | 13.1
Marquez Valdes-Scantling | WR | 4.5
Terry McLaurin | WR | 14.3
Keenan Allen | WR | 9.1
Cedric Tillman | WR | 8.2
Kyle Williams | WR | 6.6
Mike Gesicki | TE | 7.1
Kyle Pitts Sr. | TE | 8.0
Noah Gray | TE | 5.0
Noah Fant | TE | 4.6
J.J. McCarthy | QB | 16.7
Justin Fields | QB | 15.8
Josh Allen | QB | 21.8
Bo Nix | QB | 18.8

Team B Roster (name | pos | proj):
Blake Corum | RB | 2.4
Ray Davis | RB | 5.9
Justice Hill | RB | 6.1
Samaje Perine | RB | 3.5
Jaylen Warren | RB | 11.0
Isiah Pacheco | RB | 11.5
Tyrone Tracy Jr. | RB | 11.0
MarShawn Lloyd | RB | 3.3
Nico Collins | WR | 15.9
Emeka Egbuka | WR | 10.6
Tutu Atwell | WR | 5.6
Josh Reynolds | WR | 6.1
Calvin Ridley | WR | 11.8
Jalen Tolbert | WR | 4.3
Demarcus Robinson | WR | 4.9
Ray-Ray McCloud III | WR | 5.1
Will Dissly | TE | 4.1
Cole Kmet | TE | 3.9
Evan Engram | TE | 9.7
Darren Waller | TE | 7.2
Justin Herbert | QB | 16.6
Michael Penix Jr. | QB | 15.2
Cameron Ward | QB | 13.9
Brock Purdy | QB | 17.7

Task: First, internally simulate what Team B would accept given its roster, then propose a trade from Team A accordingly. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
