You are negotiating a fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), reasoning (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Quinshon Judkins | RB | 5.0
Kendre Miller | RB | 3.5
Jaydon Blue | RB | 5.3
Christian McCaffrey | RB | 18.6
Jordan Mason | RB | 7.4
Derrick Henry | RB | 16.2
Miles Sanders | RB | 4.0
Rhamondre Stevenson | RB | 10.3
Chris Olave | WR | 10.9
Brandin Cooks | WR | 5.4
Deebo Samuel Sr. | WR | 11.5
Jack Bech | WR | 7.3
Amon-Ra St. Brown | WR | 16.9
Emeka Egbuka | WR | 10.6
Keon Coleman | WR | 10.0
Calvin Ridley | WR | 11.8
Jonnu Smith | TE | 6.8
Noah Gray | TE | 5.0
Dallas Goedert | TE | 9.2
Brenton Strange | TE | 7.7
Bo Nix | QB | 18.8
Cameron Ward | QB | 13.9
Brock Purdy | QB | 17.7
C.J. Stroud | QB | 16.2

Team B Roster (name | pos | proj):
Aaron Jones Sr. | RB | 11.5
Tyrone Tracy Jr. | RB | 11.0
Tank Bigsby | RB | 7.4
Alvin Kamara | RB | 14.7
Kareem Hunt | RB | 4.8
Isiah Pacheco | RB | 11.5
Isaac Guerendo | RB | 4.2
Jaylen Warren | RB | 11.0
Jalen Tolbert | WR | 4.3
Adam Thielen | WR | 9.0
Jalen McMillan | WR | 9.2
DeVonta Smith | WR | 13.0
Marquez Valdes-Scantling | WR | 4.5
Allen Lazard | WR | 4.4
Drake London | WR | 15.2
Kyle Williams | WR | 6.6
Kyle Pitts Sr. | TE | 8.0
Trey McBride | TE | 14.6
Mike Gesicki | TE | 7.1
Tucker Kraft | TE | 8.8
Drake Maye | QB | 17.1
Michael Penix Jr. | QB | 15.2
Tua Tagovailoa | QB | 15.5
Joe Burrow | QB | 20.0

Task: You are the manager of Team A in a fantasy football league. Your goal is to improve your team by proposing a trade with team B. Review both rosters and propose a trade that accomplishes your goal. Provide a detailed explanation for your trade. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
