You are negotiating a fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), reasoning (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Christian McCaffrey | RB | 18.6
Nick Chubb | RB | 4.7
Kaleb Johnson | RB | 10.7
Will Shipley | RB | 3.7
RJ Harvey | RB | 11.8
Aaron Jones Sr. | RB | 11.5
Isiah Pacheco | RB | 11.5
Tyrone Tracy Jr. | RB | 11.0
Darius Slayton | WR | 6.6
Demarcus Robinson | WR | 4.9
Marquise Brown | WR | 10.1
Jack Bech | WR | 7.3
Noah Brown | WR | 4.3
Quentin Johnston | WR | 6.3
Mike Evans | WR | 14.6
Jaylin Noel | WR | 4.8
Tyler Higbee | TE | 6.7
Mike Gesicki | TE | 7.1
Evan Engram | TE | 9.7
Chig Okonkwo | TE | 7.0
Kyler Murray | QB | 18.5
Justin Herbert | QB | 16.6
Tua Tagovailoa | QB | 15.5
Brock Purdy | QB | 17.7

Team B Roster (name | pos | proj):
D'Andre Swift | RB | 11.4
Joe Mixon | RB | 8.9
Braelon Allen | RB | 4.2
Jahmyr Gibbs | RB | 17.9
Jaylen Wright | RB | 5.0
Zach Charbonnet | RB | 8.0
David Montgomery | RB | 11.5
Bijan Robinson | RB | 18.5
Jauan Jennings | WR | 12.2
Cooper Kupp | WR | 11.1
Xavier Legette | WR | 7.4
Kyle Williams | WR | 6.6
DJ Moore | WR | 13.1
Davante Adams | WR | 13.4
Tyler Lockett | WR | 6.0
Marquez Valdes-Scantling | WR | 4.5
Theo Johnson | TE | 6.9
Kyle Pitts Sr. | TE | 8.0
Cole Kmet | TE | 3.9
Colston Loveland | TE | 7.8
Trevor Lawrence | QB | 17.9
J.J. McCarthy | QB | 16.7
Geno Smith | QB | 14.4
Dak Prescott | QB | 16.4

Task: You are the manager of Team A. Your goal is to improve Team A by proposing a mutually beneficial trade with Team B that Team B is likely to accept. Consider what team B needs or might accept. You may offer any players from your own team in exchange for players on Team B's roster. Carefully analyze both teams rosters, including positional strengths and weaknesses. Your trade should consider Team B's perspective which includes their positional needs and likely willingness to accept the trade and also be fair and realistic. Your task is to propose a trade and clearly state which player(s) each team would give and receive. Think step by step through your analysis. After, write a detailed explanation on why the trade benefits both teams, what needs each team is addressing and why Team B is likely to accept the trade. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
