You are negotiating an NFL fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), rationale (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Derrick Henry | RB | 16.2
Javonte Williams | RB | 8.8
Brian Robinson Jr. | RB | 10.4
TreVeyon Henderson | RB | 12.2
Kenneth Walker III | RB | 13.7
Kaleb Johnson | RB | 10.7
Bijan Robinson | RB | 18.5
Chuba Hubbard | RB | 13.8
Marquez Valdes-Scantling | WR | 4.5
Rashee Rice | WR | 6.7
Jerry Jeudy | WR | 12.4
Jauan Jennings | WR | 12.2
Adonai Mitchell | WR | 5.1
Allen Lazard | WR | 4.4
Tyler Lockett | WR | 6.0
Mike Evans | WR | 14.6
David Njoku | TE | 10.6
Theo Johnson | TE | 6.9
Tucker Kraft | TE | 8.8
Hunter Henry | TE | 8.3
Dak Prescott | QB | 16.4
Trevor Lawrence | QB | 17.9
Cameron Ward | QB | 13.9
Tua Tagovailoa | QB | 15.5

Team B Roster (name | pos | proj):
Jahmyr Gibbs | RB | 17.9
Justice Hill | RB | 6.1
Saquon Barkley | RB | 19.3
Raheem Mostert | RB | 3.3
Aaron Jones Sr. | RB | 11.5
Kyle Monangai | RB | 2.4
Ashton Jeanty | RB | 15.5
Woody Marks | RB | 3.3
Brandin Cooks | WR | 5.4
Xavier Legette | WR | 7.4
Jaylen Waddle | WR | 11.7
Luther Burden III | WR | 7.8
Khalil Shakir | WR | 11.7
Deebo Samuel Sr. | WR | 11.5
Travis Hunter | WR | 12.7
Jameson Williams | WR | 12.6
T.J. Hockenson | TE | 10.7
Cole Kmet | TE | 3.9
Noah Gray | TE | 5.0
Sam LaPorta | TE | 11.2
Justin Fields | QB | 15.8
Anthony Richardson Sr. | QB | 13.8
Russell Wilson | QB | 15.4
Jalen Hurts | QB | 22.0

Task: Propose a mutually beneficial trade. Infer what Team B might value from the rosters; do not state assumptions explicitly. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
