You are negotiating a fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), reasoning (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Aaron Jones Sr. | RB | 11.5
Jaylen Warren | RB | 11.0
Bijan Robinson | RB | 18.5
Tyjae Spears | RB | 7.5
Tank Bigsby | RB | 7.4
Kyle Monangai | RB | 2.4
Trey Benson | RB | 7.6
D'Andre Swift | RB | 11.4
Tyler Lockett | WR | 6.0
Allen Lazard | WR | 4.4
Tutu Atwell | WR | 5.6
Romeo Doubs | WR | 7.6
Alec Pierce | WR | 5.8
Khalil Shakir | WR | 11.7
DK Metcalf | WR | 12.7
Marquise Brown | WR | 10.1
Kyle Pitts Sr. | TE | 8.0
Tucker Kraft | TE | 8.8
Chig Okonkwo | TE | 7.0
Jake Ferguson | TE | 8.5
Kenny Pickett | QB | 15.9
Joe Burrow | QB | 20.0
Russell Wilson | QB | 15.4
Brock Purdy | QB | 17.7

Team B Roster (name | pos | proj):
Isiah Pacheco | RB | 11.5
Tyler Allgeier | RB | 5.6
Saquon Barkley | RB | 19.3
Javonte Williams | RB | 8.8
Kyren Williams | RB | 15.2
Cam Skattebo | RB | 7.8
Josh Jacobs | RB | 15.5
RJ Harvey | RB | 11.8
Amon-Ra St. Brown | WR | 16.9
Rashod Bateman | WR | 8.5
Keenan Allen | WR | 9.1
Chris Olave | WR | 10.9
Chris Godwin | WR | 4.8
Rome Odunze | WR | 11.6
Jakobi Meyers | WR | 11.5
Tre' Harris | WR | 6.7
Evan Engram | TE | 9.7
Pat Freiermuth | TE | 7.1
Juwan Johnson | TE | 5.6
Tyler Warren | TE | 8.2
J.J. McCarthy | QB | 16.7
Geno Smith | QB | 14.4
Lamar Jackson | QB | 21.6
Bryce Young | QB | 15.5

Task: You are the manager of Team A. Your goal is to improve Team A by proposing a mutually beneficial trade with Team B that Team B is likely to accept. Consider what team B needs or might accept. You may offer any players from your own team in exchange for players on Team B's roster. Carefully analyze both teams rosters, including positional strengths and weaknesses. Your trade should consider Team B's perspective which includes their positional needs and likely willingness to accept the trade and also be fair and realistic. Your task is to propose a trade and clearly state which player(s) each team would give and receive. Think step by step through your analysis. After, write a detailed explanation on why the trade benefits both teams, what needs each team is addressing and why Team B is likely to accept the trade. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
