You are negotiating a fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), reasoning (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Woody Marks | RB | 3.3
Breece Hall | RB | 12.7
Travis Etienne Jr. | RB | 10.0
Ray Davis | RB | 5.9
David Montgomery | RB | 11.5
Kyle Monangai | RB | 2.4
Jaylen Wright | RB | 5.0
Tyler Allgeier | RB | 5.6
DK Metcalf | WR | 12.7
Cedric Tillman | WR | 8.2
Rashid Shaheed | WR | 9.8
Jack Bech | WR | 7.3
Mike Evans | WR | 14.6
Alec Pierce | WR | 5.8
Curtis Samuel | WR | 4.0
Pat Bryant | WR | 4.5
Mike Gesicki | TE | 7.1
Cole Kmet | TE | 3.9
Dalton Schultz | TE | 7.0
Michael Mayer | TE | 4.0
Brock Purdy | QB | 17.7
Geno Smith | QB | 14.4
Tua Tagovailoa | QB | 15.5
Lamar Jackson | QB | 21.6

Team B Roster (name | pos | proj):
Joe Mixon | RB | 8.9
Kyren Williams | RB | 15.2
Trey Benson | RB | 7.6
Josh Jacobs | RB | 15.5
MarShawn Lloyd | RB | 3.3
Bhayshul Tuten | RB | 4.9
Justice Hill | RB | 6.1
Tony Pollard | RB | 10.4
Tre' Harris | WR | 6.7
Jalen Coker | WR | 5.0
Josh Reynolds | WR | 6.1
Matthew Golden | WR | 11.6
Tee Higgins | WR | 14.4
Marvin Harrison Jr. | WR | 13.3
Allen Lazard | WR | 4.4
Khalil Shakir | WR | 11.7
T.J. Hockenson | TE | 10.7
Chig Okonkwo | TE | 7.0
Pat Freiermuth | TE | 7.1
Sam LaPorta | TE | 11.2
Jared Goff | QB | 16.2
Jordan Love | QB | 16.3
Michael Penix Jr. | QB | 15.2
Jalen Hurts | QB | 22.0

Task: You are the manager of Team A in a fantasy football league. Your goal is to improve your team by proposing a trade with team B. Review both rosters and propose a trade that accomplishes your goal. Provide a detailed explanation for your trade. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
