You are negotiating a fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), reasoning (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
James Cook | RB | 14.2
Kenneth Walker III | RB | 13.7
Jonathan Taylor | RB | 16.2
Jahmyr Gibbs | RB | 17.9
Trey Benson | RB | 7.6
Najee Harris | RB | 6.7
Travis Etienne Jr. | RB | 10.0
Brian Robinson Jr. | RB | 10.4
Jalen McMillan | WR | 9.2
Emeka Egbuka | WR | 10.6
KaVontae Turpin | WR | 4.2
Davante Adams | WR | 13.4
Pat Bryant | WR | 4.5
Ray-Ray McCloud III | WR | 5.1
Troy Franklin | WR | 4.0
Joshua Palmer | WR | 7.6
Brenton Strange | TE | 7.7
Jake Ferguson | TE | 8.5
Tyler Conklin | TE | 4.9
Noah Fant | TE | 4.6
Jayden Daniels | QB | 21.4
Anthony Richardson Sr. | QB | 13.8
Geno Smith | QB | 14.4
Patrick Mahomes II | QB | 19.9

Team B Roster (name | pos | proj):
Bucky Irving | RB | 16.3
Aaron Jones Sr. | RB | 11.5
Dylan Sampson | RB | 6.0
Omarion Hampton | RB | 14.0
Bijan Robinson | RB | 18.5
James Conner | RB | 14.1
Tyrone Tracy Jr. | RB | 11.0
Isaac Guerendo | RB | 4.2
Keon Coleman | WR | 10.0
DeAndre Hopkins | WR | 5.7
Tee Higgins | WR | 14.4
Adam Thielen | WR | 9.0
Dyami Brown | WR | 6.7
Tyreek Hill | WR | 14.7
Jalen Coker | WR | 5.0
Stefon Diggs | WR | 10.6
Darren Waller | TE | 7.2
Mike Gesicki | TE | 7.1
Theo Johnson | TE | 6.9
Dallas Goedert | TE | 9.2
Baker Mayfield | QB | 19.2
Justin Herbert | QB | 16.6
Drake Maye | QB | 17.1
J.J. McCarthy | QB | 16.7

Task: You are the manager of Team A in a fantasy football league. Your goal is to improve your team by proposing a trade with team B. Review both rosters and propose a trade that accomplishes your goal. Provide a detailed explanation for your trade. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
